"Date","Price","Open","High","Low","Vol.","Change %"
"11/11/2024","162.73","160.96","163.20","160.96","","1.16%"
"11/08/2024","160.86","161.87","162.27","160.38","","-0.63%"
"11/07/2024","161.88","160.25","162.51","160.25","","0.94%"
"11/06/2024","160.38","162.20","165.05","160.08","","-1.09%"
"11/05/2024","162.15","161.73","162.21","161.27","","0.22%"
"11/04/2024","161.80","162.50","162.96","161.77","","-0.44%"
"11/01/2024","162.51","161.02","162.90","161.02","","0.94%"
"10/31/2024","161.00","162.47","162.47","160.34","","-0.98%"
"10/30/2024","162.59","163.82","163.96","161.91","","-1.26%"
"10/29/2024","164.66","166.02","166.20","164.63","","-0.45%"
"10/28/2024","165.40","165.62","165.73","164.40","","0.32%"
"10/25/2024","164.87","164.47","165.16","164.16","","0.12%"
"10/24/2024","164.68","164.96","165.88","164.67","","0.01%"
"10/23/2024","164.66","164.75","165.51","164.29","","-0.30%"
"10/22/2024","165.15","165.33","165.80","164.21","","-0.21%"
"10/21/2024","165.50","166.47","167.03","165.44","","-0.80%"
"10/18/2024","166.84","165.78","166.85","165.78","","0.49%"
"10/17/2024","166.03","165.38","166.76","165.28","","0.66%"
"10/16/2024","164.94","164.80","165.33","164.54","","-0.43%"
"10/15/2024","165.65","168.13","168.40","165.60","","-1.27%"
"10/14/2024","167.78","166.97","167.81","166.60","","0.55%"
"10/11/2024","166.86","165.61","166.93","165.33","","0.71%"
"10/10/2024","165.68","166.16","166.36","165.19","","-0.32%"
"10/09/2024","166.21","165.28","166.25","164.89","","0.59%"
"10/08/2024","165.23","164.59","165.47","164.20","","-0.37%"
"10/07/2024","165.84","165.79","166.01","164.68","","0.28%"
"10/04/2024","165.38","164.31","165.83","164.30","","0.54%"
"10/03/2024","164.49","165.60","165.65","164.13","","-0.88%"
"10/02/2024","165.95","166.20","166.55","165.03","","-0.03%"
"10/01/2024","166.00","167.57","167.82","165.42","","-0.71%"
"09/30/2024","167.18","168.51","168.97","167.17","","-1.16%"
"09/27/2024","169.14","168.41","169.31","168.27","","0.40%"
"09/26/2024","168.47","167.66","168.79","167.58","","1.65%"
"09/25/2024","165.74","165.26","166.19","165.09","","-0.05%"
"09/24/2024","165.82","165.85","166.20","165.13","","0.81%"
"09/23/2024","164.49","164.50","164.68","163.78","","0.14%"
"09/20/2024","164.26","166.43","166.55","164.14","","-1.55%"
"09/19/2024","166.84","165.70","166.85","165.23","","1.74%"
"09/18/2024","163.99","164.80","164.82","163.90","","-0.60%"
"09/17/2024","164.98","164.78","165.59","164.66","","0.47%"
"09/16/2024","164.21","164.03","164.85","163.97","","-0.25%"
"09/13/2024","164.62","163.62","164.94","163.62","","0.83%"
"09/12/2024","163.27","163.47","163.99","162.43","","1.10%"
"09/11/2024","161.50","161.31","162.62","160.72","","0.30%"
"09/10/2024","161.01","161.89","162.79","160.76","","-0.65%"
"09/09/2024","162.07","161.70","162.63","161.48","","0.78%"
"09/06/2024","160.81","162.39","163.45","160.67","","-1.22%"
"09/05/2024","162.79","163.15","163.98","162.74","","-0.56%"
"09/04/2024","163.71","163.94","164.13","163.21","","-1.16%"
"09/03/2024","165.63","167.60","167.88","165.45","","-1.07%"
"09/02/2024","167.42","167.17","167.47","166.07","","0.08%"
"08/30/2024","167.29","167.11","167.72","167.03","","0.13%"
"08/29/2024","167.07","165.46","167.10","165.46","","1.01%"
"08/28/2024","165.40","165.31","165.91","165.19","","0.27%"
"08/27/2024","164.96","165.07","165.38","164.59","","0.06%"
"08/26/2024","164.86","164.92","165.18","164.68","","-0.15%"
"08/23/2024","165.11","164.48","165.39","164.40","","0.44%"
"08/22/2024","164.38","163.99","164.98","163.99","","0.24%"
"08/21/2024","163.98","163.39","164.23","163.39","","0.40%"
"08/20/2024","163.33","164.29","164.56","163.27","","-0.34%"
"08/19/2024","163.89","162.86","164.12","162.77","","0.61%"
"08/16/2024","162.89","162.15","163.17","162.15","","0.45%"
"08/15/2024","162.16","160.12","162.28","160.07","","1.38%"
"08/14/2024","159.95","159.44","159.97","159.39","","0.53%"
"08/13/2024","159.11","158.31","159.13","157.72","","0.59%"
"08/12/2024","158.18","158.68","159.12","157.90","","-0.19%"
"08/09/2024","158.48","157.56","159.06","157.47","","0.64%"
"08/08/2024","157.47","157.09","157.63","155.33","","0.18%"
"08/07/2024","157.19","155.31","157.70","155.02","","1.39%"
"08/06/2024","155.03","155.22","156.06","153.66","","0.43%"
"08/05/2024","154.37","155.55","155.55","151.46","","-1.87%"
"08/02/2024","157.31","161.27","161.27","156.96","","-2.78%"
"08/01/2024","161.81","164.68","164.68","161.66","","-1.79%"
"07/31/2024","164.76","164.20","165.43","164.20","","0.73%"
"07/30/2024","163.57","163.13","164.30","163.13","","0.57%"
"07/29/2024","162.64","163.63","164.03","162.51","","-0.43%"
"07/26/2024","163.35","162.11","163.54","161.99","","0.75%"
"07/25/2024","162.14","163.54","163.54","160.64","","-1.08%"
"07/24/2024","163.91","165.38","165.38","163.64","","-1.04%"
"07/23/2024","165.63","165.17","166.50","164.97","","0.29%"
"07/22/2024","165.15","163.53","165.71","163.53","","1.08%"
"07/19/2024","163.38","164.37","164.37","163.24","","-0.69%"
"07/18/2024","164.51","165.34","166.26","164.46","","-0.30%"
"07/17/2024","165.00","166.55","166.55","164.58","","-1.22%"
"07/16/2024","167.04","167.39","167.39","166.54","","-0.46%"
"07/15/2024","167.81","169.18","169.48","167.75","","-1.06%"
"07/12/2024","169.60","167.86","169.83","167.86","","1.10%"
"07/11/2024","167.75","167.30","168.33","166.98","","0.47%"
"07/10/2024","166.96","165.37","167.00","165.22","","1.00%"
"07/09/2024","165.30","166.95","166.95","165.05","","-1.13%"
"07/08/2024","167.19","167.38","168.74","167.00","","-0.15%"
"07/05/2024","167.44","167.89","168.64","166.91","","-0.12%"
"07/04/2024","167.64","166.81","167.81","166.81","","0.49%"
"07/03/2024","166.83","165.63","167.20","165.63","","0.89%"
"07/02/2024","165.36","165.95","165.95","164.14","","-0.46%"
"07/01/2024","166.12","165.76","167.53","165.76","","0.55%"
"06/28/2024","165.21","165.48","166.13","164.86","","-0.16%"
"06/27/2024","165.47","166.12","166.45","165.35","","-0.41%"
"06/26/2024","166.15","167.63","168.08","165.51","","-0.51%"
"06/25/2024","167.00","166.69","167.00","166.17","","-0.12%"
"06/24/2024","167.20","165.84","167.52","165.77","","0.80%"
"06/21/2024","165.87","166.67","166.88","165.46","","-0.77%"
"06/20/2024","167.16","165.43","167.16","165.43","","1.17%"
"06/19/2024","165.23","165.82","166.01","165.19","","-0.42%"
"06/18/2024","165.93","165.90","165.98","165.00","","0.67%"
"06/17/2024","164.82","164.92","165.79","163.71","","0.37%"
"06/14/2024","164.22","166.90","166.94","163.67","","-1.57%"
"06/13/2024","166.84","169.53","169.54","166.66","","-1.78%"
"06/12/2024","169.87","168.23","170.20","168.12","","1.28%"
"06/11/2024","167.73","169.83","169.94","167.13","","-0.97%"
"06/10/2024","169.37","168.89","169.39","168.11","","-0.52%"
"06/07/2024","170.26","170.93","170.93","169.24","","-0.25%"
"06/06/2024","170.68","170.62","171.16","170.24","","0.73%"
"06/05/2024","169.44","168.41","169.71","168.28","","1.15%"
"06/04/2024","167.52","168.53","168.53","167.03","","-0.76%"
"06/03/2024","168.80","169.44","169.75","168.59","","0.38%"
"05/31/2024","168.16","167.82","168.61","167.62","","0.18%"
"05/30/2024","167.86","166.91","168.07","166.90","","0.38%"
"05/29/2024","167.23","169.04","169.04","167.06","","-1.30%"
"05/28/2024","169.44","170.58","170.67","169.07","","-0.49%"
"05/27/2024","170.27","169.51","170.28","169.43","","0.35%"
"05/24/2024","169.67","168.79","169.78","168.42","","-0.12%"
"05/23/2024","169.88","169.90","170.67","169.54","","0.21%"
"05/22/2024","169.52","169.89","169.89","169.23","","-0.32%"
"05/21/2024","170.07","170.01","170.19","169.31","","-0.25%"
