"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|DK1","852.42","1120.13","1083.58","1034.33"
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|DK1","760.42","1020.54","975.25","914.62"
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|DK1","704.63","947.17","893.83","883.57"
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|DK1","665.54","858.33","870.21","897.03"
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|DK1","607.67","787.46","853.33","900.30"
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|DK1","616.75","768.96","938.33","898.54"
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|DK1","627.42","748.46","917.08","880.99"
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|DK1","541.21","657.96","857.75","862.90"
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|DK1","519.54","621.17","912.17","850.41"
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|DK1","493.79","587.33","864.08","853.39"
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|DK1","472.04","541.38","833.50","844.07"
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|DK1","430.00","490.13","827.58","837.44"
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|DK1","418.21","445.50","788.42","779.35"
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|DK1","608.58","726.42","726.42","710.73"
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|DK1","557.71","687.46","687.46","641.98"
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|DK1","499.96","603.42","603.42","554.37"
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|DK1","448.29","545.04","545.04","494.25"
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|DK1","400.50","472.54","472.54","490.03"
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|DK1","349.13","473.17","473.17","522.46"
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|DK1","302.58","483.42","483.42","520.78"
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|DK1","281.25","501.54","501.54","467.95"
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|DK1","324.46","487.25","487.25","475.19"
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|DK1","337.17","471.04","485.92","459.07"
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|DK1","343.33","441.17","450.00","417.85"
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|DK1","339.46","430.79","396.83","329.62"
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|DK1","306.54","422.71","337.75","317.92"
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|DK1","301.71","440.25","368.46","347.03"
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|DK1","335.79","455.33","415.42","376.49"
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|DK1","349.92","474.50","412.67","372.82"
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|DK1","405.75","520.58","446.46","447.88"
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|DK1","467.17","564.58","581.38","642.13"
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|DK1","444.75","541.88","686.83","780.46"
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|DK1","463.75","558.58","893.29","863.41"
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|DK1","489.92","574.04","916.58","918.83"
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|DK1","515.63","577.71","947.17","905.28"
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|DK1","501.25","551.92","891.67","894.07"
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|DK1","488.92","510.08","928.79","989.86"
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|DK1","715.71","1007.71","1007.71","986.85"
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|DK1","631.96","948.46","948.46","870.51"
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|DK1","559.33","777.67","777.67","725.41"
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|DK1","513.46","707.96","707.96","716.25"
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|DK1","490.25","731.33","731.33","707.56"
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|DK1","461.88","664.71","664.71","677.83"
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|DK1","397.71","644.33","644.33","722.39"
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|DK1","341.96","700.54","700.54","670.40"
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|DK1","352.67","658.71","658.71","559.97"
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|DK1","310.00","575.21","466.38","417.52"
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|DK1","270.63","460.75","306.83","301.65"
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|DK1","218.79","380.50","261.75","253.82"
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|DK1","171.88","327.42","220.54","190.40"
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|DK1","146.75","293.54","167.00","160.77"
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|DK1","139.54","255.42","155.75","144.65"
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|DK1","127.13","218.79","139.63","152.06"
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|DK1","126.75","198.33","158.58","171.32"
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|DK1","131.33","190.58","186.04","191.12"
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|DK1","117.42","158.54","180.92","184.12"
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|DK1","113.67","122.04","165.71","152.87"
