"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|DK1","0.02","0.02","0.00","0.00"
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|DK1","0.01","0.01","0.01","0.00"
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|DK1","0.05","0.04","0.04","0.00"
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|DK1","0.54","0.67","0.67","0.03"
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|DK1","10.01","12.30","9.30","27.87"
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|DK1","34.11","40.43","57.10","96.89"
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|DK1","54.27","61.98","108.42","176.93"
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|DK1","59.57","67.00","131.41","172.42"
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|DK1","50.08","57.00","103.10","149.10"
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|DK1","28.48","32.70","73.16","100.27"
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|DK1","6.33","7.28","24.56","34.04"
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|DK1","0.30","0.34","2.85","0.56"
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|DK1","0.05","0.05","0.00","0.00"
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|DK1","0.03","0.03","0.00","0.00"
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|DK1","0.02","0.02","0.00","0.00"
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|DK1","0.01","0.01","0.01","0.00"
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|DK1","0.05","0.04","0.04","0.00"
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|DK1","0.53","0.54","0.54","0.17"
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|DK1","10.61","10.71","9.01","28.98"
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|DK1","42.23","41.47","69.91","129.70"
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|DK1","77.00","73.27","166.76","254.24"
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|DK1","94.22","87.98","240.10","329.59"
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|DK1","82.85","76.47","233.65","319.44"
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|DK1","50.39","46.46","147.85","194.49"
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|DK1","11.82","10.97","43.11","42.55"
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|DK1","0.54","0.51","2.87","0.87"
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|DK1","0.05","0.05","0.00","0.00"
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|DK1","0.03","0.03","0.00","0.00"
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|DK1","0.02","0.02","0.00","0.00"
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|DK1","0.01","0.01","0.01","0.00"
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|DK1","0.05","0.05","0.05","0.00"
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|DK1","0.77","0.76","0.76","0.73"
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|DK1","14.54","14.29","12.86","59.24"
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|DK1","50.76","49.41","125.79","219.63"
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|DK1","86.75","83.56","256.05","370.65"
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|DK1","101.07","96.59","289.49","387.60"
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|DK1","84.63","80.20","255.65","354.34"
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|DK1","49.92","45.84","147.45","186.79"
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|DK1","12.21","10.95","39.47","46.68"
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|DK1","0.58","0.52","3.57","0.77"
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|DK1","0.05","0.05","0.00","0.00"
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|DK1","0.03","0.03","0.00","0.00"
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|DK1","0.02","0.02","0.00","0.00"
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
