"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"06/01/2016 19:00:00 - 06/01/2016 20:00:00","BZN|DK1","631.04","n/e"," ","701.64"
"06/01/2016 20:00:00 - 06/01/2016 21:00:00","BZN|DK1","613.71","n/e"," ","714.83"
"06/01/2016 21:00:00 - 06/01/2016 22:00:00","BZN|DK1","592.33","n/e"," ","742.37"
"06/01/2016 22:00:00 - 06/01/2016 23:00:00","BZN|DK1","614.42","n/e"," ","754.01"
"06/01/2016 23:00:00 - 07/01/2016 00:00:00","BZN|DK1","650.38","n/e"," ","731.31"
"07/01/2016 00:00:00 - 07/01/2016 01:00:00","BZN|DK1","659.58","n/e"," ","707.67"
"07/01/2016 01:00:00 - 07/01/2016 02:00:00","BZN|DK1","666.33","n/e"," ","581.00"
"07/01/2016 02:00:00 - 07/01/2016 03:00:00","BZN|DK1","667.54","n/e"," ","633.12"
"07/01/2016 03:00:00 - 07/01/2016 04:00:00","BZN|DK1","672.29","n/e"," ","658.39"
"07/01/2016 04:00:00 - 07/01/2016 05:00:00","BZN|DK1","681.54","n/e"," ","554.39"
"07/01/2016 05:00:00 - 07/01/2016 06:00:00","BZN|DK1","689.21","n/e"," ","589.63"
"07/01/2016 06:00:00 - 07/01/2016 07:00:00","BZN|DK1","699.88","n/e"," ","718.17"
"07/01/2016 07:00:00 - 07/01/2016 08:00:00","BZN|DK1","716.54","n/e"," ","657.10"
"07/01/2016 08:00:00 - 07/01/2016 09:00:00","BZN|DK1","737.29","n/e"," ","667.22"
"07/01/2016 09:00:00 - 07/01/2016 10:00:00","BZN|DK1","744.50","n/e"," ","626.96"
"07/01/2016 10:00:00 - 07/01/2016 11:00:00","BZN|DK1","748.13","n/e"," ","693.79"
"07/01/2016 11:00:00 - 07/01/2016 12:00:00","BZN|DK1","748.25","n/e"," ","717.41"
"07/01/2016 12:00:00 - 07/01/2016 13:00:00","BZN|DK1","749.00","n/e"," ","729.28"
"07/01/2016 13:00:00 - 07/01/2016 14:00:00","BZN|DK1","747.29","n/e"," ","756.28"
"07/01/2016 14:00:00 - 07/01/2016 15:00:00","BZN|DK1","744.21","n/e"," ","761.37"
"07/01/2016 15:00:00 - 07/01/2016 16:00:00","BZN|DK1","741.79","n/e"," ","763.93"
"07/01/2016 16:00:00 - 07/01/2016 17:00:00","BZN|DK1","735.88","n/e"," ","770.06"
"07/01/2016 17:00:00 - 07/01/2016 18:00:00","BZN|DK1","730.71","n/e"," ","775.35"
