"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"07/01/2023 10:00 - 07/01/2023 11:00","BZN|DK1","2475.88","2449.00"
"07/01/2023 11:00 - 07/01/2023 12:00","BZN|DK1","2545.00","2495.00"
"07/01/2023 12:00 - 07/01/2023 13:00","BZN|DK1","2564.11","2549.00"
"07/01/2023 13:00 - 07/01/2023 14:00","BZN|DK1","2548.41","2555.00"
"07/01/2023 14:00 - 07/01/2023 15:00","BZN|DK1","2495.33","2551.00"
"07/01/2023 15:00 - 07/01/2023 16:00","BZN|DK1","2446.62","2487.00"
"07/01/2023 16:00 - 07/01/2023 17:00","BZN|DK1","2537.72","2571.00"
"07/01/2023 17:00 - 07/01/2023 18:00","BZN|DK1","2729.44","2774.00"
"07/01/2023 18:00 - 07/01/2023 19:00","BZN|DK1","2636.38","2696.00"
"07/01/2023 19:00 - 07/01/2023 20:00","BZN|DK1","2448.72","2440.00"
"07/01/2023 20:00 - 07/01/2023 21:00","BZN|DK1","2335.24","2309.00"
"07/01/2023 21:00 - 07/01/2023 22:00","BZN|DK1","2277.81","2212.00"
"07/01/2023 22:00 - 07/01/2023 23:00","BZN|DK1","2176.04","2132.00"
"07/01/2023 23:00 - 08/01/2023 00:00","BZN|DK1","2118.72","2039.00"
"08/01/2023 00:00 - 08/01/2023 01:00","BZN|DK1","2154.06","2074.00"
"08/01/2023 01:00 - 08/01/2023 02:00","BZN|DK1","2168.18","2089.00"
"08/01/2023 02:00 - 08/01/2023 03:00","BZN|DK1","2171.88","2141.00"
"08/01/2023 03:00 - 08/01/2023 04:00","BZN|DK1","2155.31","2167.00"
"08/01/2023 04:00 - 08/01/2023 05:00","BZN|DK1","2153.80","2153.00"
"08/01/2023 05:00 - 08/01/2023 06:00","BZN|DK1","2121.86","2168.00"
"08/01/2023 06:00 - 08/01/2023 07:00","BZN|DK1","2168.03","2184.00"
"08/01/2023 07:00 - 08/01/2023 08:00","BZN|DK1","2241.09","2267.00"
"08/01/2023 08:00 - 08/01/2023 09:00","BZN|DK1","2331.01","2365.00"
"08/01/2023 09:00 - 08/01/2023 10:00","BZN|DK1","2346.62","2367.00"
"08/01/2023 10:00 - 08/01/2023 11:00","BZN|DK1","2366.53","2398.00"
"08/01/2023 11:00 - 08/01/2023 12:00","BZN|DK1","2417.72","2424.00"
"08/01/2023 12:00 - 08/01/2023 13:00","BZN|DK1","2385.75","2425.00"
"08/01/2023 13:00 - 08/01/2023 14:00","BZN|DK1","2387.67","2414.00"
"08/01/2023 14:00 - 08/01/2023 15:00","BZN|DK1","2376.11","2385.00"
"08/01/2023 15:00 - 08/01/2023 16:00","BZN|DK1","2395.92","2398.00"
"08/01/2023 16:00 - 08/01/2023 17:00","BZN|DK1","2461.57","2479.00"
"08/01/2023 17:00 - 08/01/2023 18:00","BZN|DK1","2687.33","2726.00"
"08/01/2023 18:00 - 08/01/2023 19:00","BZN|DK1","2592.38","2609.00"
"08/01/2023 19:00 - 08/01/2023 20:00","BZN|DK1","2412.92","2424.00"
"08/01/2023 20:00 - 08/01/2023 21:00","BZN|DK1","2322.68","2314.00"
"08/01/2023 21:00 - 08/01/2023 22:00","BZN|DK1","2269.24","2211.00"
"08/01/2023 22:00 - 08/01/2023 23:00","BZN|DK1","2170.90","2211.00"
"08/01/2023 23:00 - 09/01/2023 00:00","BZN|DK1","2130.80","2142.00"
"09/01/2023 00:00 - 09/01/2023 01:00","BZN|DK1","2154.43","2041.00"
"09/01/2023 01:00 - 09/01/2023 02:00","BZN|DK1","2192.93","2101.00"
"09/01/2023 02:00 - 09/01/2023 03:00","BZN|DK1","2189.51","2165.00"
"09/01/2023 03:00 - 09/01/2023 04:00","BZN|DK1","2230.16","2219.00"
"09/01/2023 04:00 - 09/01/2023 05:00","BZN|DK1","2211.08","2244.00"
"09/01/2023 05:00 - 09/01/2023 06:00","BZN|DK1","2275.83","2348.00"
"09/01/2023 06:00 - 09/01/2023 07:00","BZN|DK1","2519.17","2619.00"
"09/01/2023 07:00 - 09/01/2023 08:00","BZN|DK1","2829.77","2897.00"
"09/01/2023 08:00 - 09/01/2023 09:00","BZN|DK1","2980.92","2964.00"
"09/01/2023 09:00 - 09/01/2023 10:00","BZN|DK1","2992.52","3006.00"
"09/01/2023 10:00 - 09/01/2023 11:00","BZN|DK1","3006.19","3040.00"
"09/01/2023 11:00 - 09/01/2023 12:00","BZN|DK1","2971.33","2987.00"
"09/01/2023 12:00 - 09/01/2023 13:00","BZN|DK1","2878.95","2937.00"
"09/01/2023 13:00 - 09/01/2023 14:00","BZN|DK1","2888.25","2920.00"
"09/01/2023 14:00 - 09/01/2023 15:00","BZN|DK1","2850.83","2889.00"
"09/01/2023 15:00 - 09/01/2023 16:00","BZN|DK1","2772.43","2827.00"
"09/01/2023 16:00 - 09/01/2023 17:00","BZN|DK1","2832.77","2862.00"
"09/01/2023 17:00 - 09/01/2023 18:00","BZN|DK1","2996.22","3035.00"
"09/01/2023 18:00 - 09/01/2023 19:00","BZN|DK1","2861.25","2852.00"
"09/01/2023 19:00 - 09/01/2023 20:00","BZN|DK1","2665.16","2658.00"
"09/01/2023 20:00 - 09/01/2023 21:00","BZN|DK1","2553.36","2506.00"
